epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,5597.88,0.58758,0.42611,0.86874,0.83085,0.60539,0.68575,0.43127,1.00176,0.51124,1.03113,0.000788,0.000788,0.000788
58,5698.36,0.59438,0.42799,0.86662,0.82473,0.7452,0.79806,0.4825,1.02652,0.49534,1.05466,0.00077975,0.00077975,0.00077975
59,5790.24,0.59135,0.43404,0.87066,0.78592,0.71933,0.7527,0.47141,1.00748,0.4892,1.0439,0.0007715,0.0007715,0.0007715
60,5875.73,0.58664,0.42298,0.86677,0.83791,0.68871,0.73719,0.46773,0.98324,0.56091,1.02048,0.00076325,0.00076325,0.00076325
61,5968.41,0.58175,0.41066,0.86687,0.75894,0.69968,0.72797,0.44224,1.04881,0.51873,1.08619,0.000755,0.000755,0.000755
62,6060.23,0.59084,0.41588,0.87166,0.82578,0.67436,0.68578,0.44151,0.99595,0.49009,1.04469,0.00074675,0.00074675,0.00074675
63,6141.14,0.57945,0.41531,0.86347,0.84652,0.72068,0.74474,0.45895,0.98132,0.50506,1.0463,0.0007385,0.0007385,0.0007385
64,6248.58,0.56786,0.40001,0.86303,0.89358,0.66144,0.7302,0.46994,0.9975,0.52173,1.05143,0.00073025,0.00073025,0.00073025
65,6367.46,0.57457,0.40613,0.8648,0.88957,0.68675,0.75253,0.46864,1.01916,0.49771,1.05936,0.000722,0.000722,0.000722
66,6456.2,0.55366,0.39706,0.8627,0.83086,0.65032,0.73787,0.45375,1.01947,0.56181,1.0365,0.00071375,0.00071375,0.00071375
67,6551.03,0.58432,0.40742,0.86558,0.88754,0.65304,0.68962,0.4477,1.01148,0.50693,1.0462,0.0007055,0.0007055,0.0007055
68,6735.26,0.57408,0.40233,0.86031,0.80977,0.66905,0.71317,0.48225,0.99663,0.50902,1.04797,0.00069725,0.00069725,0.00069725
69,6879.26,0.5685,0.39162,0.86076,0.81425,0.68602,0.7377,0.45578,1.02294,0.49982,1.06625,0.000689,0.000689,0.000689
70,7020.79,0.55828,0.39379,0.86098,0.74014,0.79995,0.80717,0.50442,1.0133,0.48408,1.04225,0.00068075,0.00068075,0.00068075
71,7165.52,0.55272,0.40391,0.85925,0.76774,0.69733,0.75132,0.47054,0.99749,0.48645,1.04779,0.0006725,0.0006725,0.0006725
72,7339.44,0.5608,0.39371,0.86241,0.90259,0.63916,0.75391,0.46725,1.01648,0.48159,1.03095,0.00066425,0.00066425,0.00066425
