epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,1044.64,0.54275,0.37666,0.84131,0.90917,0.67756,0.81838,0.53396,1.08044,0.44499,1.08699,0.000866375,0.000866375,0.000866375
95,1055.4,0.54173,0.38095,0.8442,0.85565,0.73824,0.86016,0.5533,1.10789,0.47233,1.12188,0.00086225,0.00086225,0.00086225
96,1066.26,0.54867,0.38085,0.84744,0.86184,0.77429,0.8794,0.55795,1.1221,0.48388,1.12373,0.000858125,0.000858125,0.000858125
97,1078.25,0.5293,0.37308,0.84645,0.86379,0.8883,0.90349,0.58659,1.1564,0.4525,1.14418,0.000854,0.000854,0.000854
98,1088.92,0.52427,0.37011,0.84454,0.78073,0.81475,0.85284,0.53579,1.08704,0.46292,1.0988,0.000849875,0.000849875,0.000849875
99,1099.56,0.53186,0.37126,0.84484,0.86789,0.71685,0.85905,0.53002,1.07002,0.45553,1.05582,0.00084575,0.00084575,0.00084575
100,1110.72,0.54176,0.3941,0.84725,0.84028,0.75201,0.85387,0.5275,1.06004,0.44316,1.08557,0.000841625,0.000841625,0.000841625
101,1121.45,0.51703,0.37657,0.8404,0.75636,0.78286,0.85655,0.55062,1.12045,0.46932,1.12923,0.0008375,0.0008375,0.0008375
102,1132.06,0.5282,0.37334,0.84413,0.89779,0.76708,0.83526,0.54973,1.08548,0.45134,1.09836,0.000833375,0.000833375,0.000833375
103,1143.33,0.53173,0.37566,0.84439,0.81056,0.7867,0.85501,0.53935,1.09495,0.45712,1.09839,0.00082925,0.00082925,0.00082925
104,1153.94,0.53658,0.3713,0.8439,0.8275,0.79027,0.85003,0.53486,1.11711,0.4565,1.09576,0.000825125,0.000825125,0.000825125
105,1164.52,0.519,0.36723,0.83909,0.83004,0.77565,0.8128,0.52254,1.1229,0.47354,1.11736,0.000821,0.000821,0.000821
106,1175.04,0.52822,0.38143,0.83872,0.82668,0.79,0.84922,0.53546,1.05534,0.48937,1.06962,0.000816875,0.000816875,0.000816875
107,1185.84,0.52926,0.37691,0.84514,0.86559,0.64823,0.79149,0.49245,1.1252,0.51656,1.11077,0.00081275,0.00081275,0.00081275
108,1197.87,0.51579,0.36494,0.84159,0.73521,0.67534,0.78451,0.50846,1.10418,0.50359,1.10906,0.000808625,0.000808625,0.000808625
109,1209.31,0.51803,0.36415,0.83939,0.84815,0.72854,0.77926,0.50245,1.15153,0.50062,1.15967,0.0008045,0.0008045,0.0008045
110,1221.31,0.50226,0.36434,0.83458,0.75087,0.83731,0.82284,0.53952,1.12124,0.48871,1.11712,0.000800375,0.000800375,0.000800375
111,1232.58,0.5287,0.37501,0.84822,0.90612,0.72878,0.82499,0.52051,1.10894,0.47084,1.11604,0.00079625,0.00079625,0.00079625
112,1243.37,0.51792,0.36825,0.83742,0.88384,0.77482,0.85337,0.54623,1.10668,0.45242,1.1114,0.000792125,0.000792125,0.000792125
113,1254.18,0.50908,0.36474,0.83711,0.82532,0.751,0.84348,0.53968,1.06631,0.51001,1.10429,0.000788,0.000788,0.000788
114,1264.91,0.50907,0.35657,0.8346,0.89907,0.70466,0.78754,0.50548,1.09216,0.47546,1.12893,0.000783875,0.000783875,0.000783875
115,1275.9,0.50166,0.35232,0.83311,0.77573,0.72441,0.77007,0.47936,1.11372,0.50435,1.14169,0.00077975,0.00077975,0.00077975
116,1287.23,0.50845,0.3545,0.84099,0.89896,0.71139,0.84159,0.52143,1.13827,0.49477,1.16415,0.000775625,0.000775625,0.000775625
117,1298.66,0.50971,0.35575,0.83729,0.73349,0.7175,0.78476,0.51196,1.10701,0.47248,1.14467,0.0007715,0.0007715,0.0007715
118,1309.7,0.52134,0.36064,0.83711,0.78873,0.66844,0.78616,0.48946,1.13532,0.4819,1.18612,0.000767375,0.000767375,0.000767375
119,1321.08,0.51247,0.36695,0.83508,0.90344,0.6767,0.85981,0.52778,1.12518,0.4897,1.13904,0.00076325,0.00076325,0.00076325
120,1332.13,0.51077,0.3597,0.83793,0.76057,0.74733,0.83223,0.52644,1.09719,0.45575,1.10364,0.000759125,0.000759125,0.000759125
121,1342.74,0.49774,0.35385,0.8361,0.77615,0.74237,0.83384,0.50834,1.04372,0.43038,1.0684,0.000755,0.000755,0.000755
122,1353.44,0.49077,0.34332,0.83565,0.8374,0.80103,0.84473,0.54004,1.04971,0.44474,1.08984,0.000750875,0.000750875,0.000750875
123,1363.96,0.50807,0.35125,0.83538,0.78966,0.70506,0.81494,0.52639,1.05822,0.43805,1.10975,0.00074675,0.00074675,0.00074675
